Title,View,View1,shortprofile,shortprofile2
I am happy,State Bank of India Credit Card,I am happy to have got this as a lifetime free card.,"Anusha
Posted on: Jul 28, 2019",Anusha
Good benefits,State Bank of India Credit Card,Using this card from SBI for 3 years now. Good benefits.,"Gauri
Posted on: Jul 28, 2019",Gauri
Reward rate,State Bank of India Credit Card,With a good reward rate and amazing cashback offers. This is by far the most perfect SBI card.,"Resham
Posted on: Jul 28, 2019",Resham
Spent with SBI,State Bank of India Credit Card,"From movies to eating out, I usually get 4 reward points for every 100 INR spent with SBI.","Manika
Posted on: Jul 28, 2019",Manika
Love this SBI card,State Bank of India Credit Card,I love this SBI card. It brings me good deal of savings.,"Kavisha
Posted on: Jul 28, 2019",Kavisha
Paid a renewal fee,State Bank of India Credit Card,It is my 2nd year and I just paid a renewal fee of 500 INR. SBI is low cost and beneficial.,"Pawan
Posted on: Jul 28, 2019",Pawan
SBI reversed back my annual fee,State Bank of India Credit Card,"When my expenses last year were more than 100k, SBI reversed back my annual fee.","Keith
Posted on: Jul 28, 2019",Keith
Online shopping or paying for the bills,State Bank of India Credit Card,"Be it online shopping or paying for the bills, everything is so hassle free with the Simply Save card.","Omar
Posted on: Jul 28, 2019",Omar
Superior value card,State Bank of India Credit Card,I genuinely haven't seen such a superior value card elsewhere. SBI is the best.,"Ranveer
Posted on: Jul 28, 2019",Ranveer
Minimum reward,State Bank of India Credit Card,"Though a minimum reward of 2000 INR is necessary for redemption, the value of rewards is amazing with this card.","Mona
Posted on: Jul 28, 2019",Mona
Initial transaction,State Bank of India Credit Card,The initial transaction of 2000 INR that I spent with SBI granted me 2000 reward points.,"Innayat
Posted on: Jul 28, 2019",Innayat
Spending with SBI,State Bank of India Credit Card,"On most of my fuel spending with SBI, I get a 1% surcharge waiver.","Saughat
Posted on: Jul 28, 2019",Saughat
Purchased for a new table,State Bank of India Credit Card,I just purchased for a new table for my office online and got a discount of 10% on this card.,"Pari
Posted on: Jul 28, 2019",Pari
Flexi pay,State Bank of India Credit Card,The flexi pay is a good benefit for getting bigger value items over 2500 with ease on EMI.,"Rosshele
Posted on: Jul 28, 2019",Rosshele
Easy money option,State Bank of India Credit Card,I used the easy money option of SBI and got a draft for money delivered at my doorstep.,"Erica
Posted on: Jul 28, 2019",Erica
Process of acquiring this loan,State Bank of India Credit Card,The process of acquiring this loan was 100% paperless. SBI is amazing.,"Purab
Posted on: Jul 28, 2019",Purab
Quick and hassle free,State Bank of India Credit Card,Love how quick and hassle free it was for me to acquire this loan from SBI.,"Kartik
Posted on: Jul 28, 2019",Kartik
Decent interest cost,State Bank of India Credit Card,This card has a decent interest cost payable at just 3.35%.,"Daksh
Posted on: Jul 28, 2019",Daksh
Converted into EMI,State Bank of India Credit Card,"With my card, I paid 500 INR as my dues and the remainder was converted into EMI.","Kamish
Posted on: Jul 28, 2019",Kamish
New iPhone,State Bank of India Credit Card,"I just bought a new iPhone for myself using my SBI card and paid 20,000 and the rest was transferred as EMI on my card.","Naman
Posted on: Jul 28, 2019",Naman
Vast variety of benefits,State Bank of India Credit Card,"This card brings me vast variety of benefits on shopping, dining and grocery.","Varsha
Posted on: Jul 28, 2019",Varsha
Fine value card,State Bank of India Credit Card,This is a fine value card wherein the interest cost is low and benefits are high.,"Frieda
Posted on: Jul 28, 2019",Frieda
Redemption fee,State Bank of India Credit Card,Had to pay a very minor fee of INR 99 as the redemption fee on the rewards.,"Rabia
Posted on: Jul 28, 2019",Rabia
Charger with my reward points,State Bank of India Credit Card,I just got myself a car charger with my reward points from the SBI catalogue.,"Chhavi
Posted on: Jul 28, 2019",Chhavi
Benefit of the reward points,State Bank of India Credit Card,The benefit of the reward points in shopping for the gifts from the vast catalogue of SBI is perfect.,"Shaziya
Posted on: Jul 28, 2019",Shaziya
Reward points accrued,State Bank of India Credit Card,I had reward points accrued over 2 years which I used for a statement credit.,"Rabia
Posted on: Jul 28, 2019",Rabia
Fine value card,State Bank of India Credit Card,This is a fine value card which brings me incredible rewards over time.,"Farida
Posted on: Jul 28, 2019",Farida
Purchase all the high value items,State Bank of India Credit Card,I can now purchase all the high value items over 2500 with my SBI card.,"Pia
Posted on: Jul 28, 2019",Pia
EMI and the flexi pay,State Bank of India Credit Card,The EMI and the flexi pay scheme of SBI card is amazing. I purchased a TV for my home using the same benefit.,"Ranvijay
Posted on: Jul 28, 2019",Ranvijay
Minimum due bill,State Bank of India Credit Card,I paid out the minimum due bill of my SBI card and got the remainder transferred to EMI.,"Manyawar
Posted on: Jul 28, 2019",Manyawar
Decent interest,State Bank of India Credit Card,Like how a decent interest of 600 INR had to be paid by me for the late payment of my bill dues.,"Drishyant
Posted on: Jul 28, 2019",Drishyant
SBI is a nice pocket friendly card,State Bank of India Credit Card,This card from SBI is a nice pocket friendly card wherein my annual free accounts to INR 500.,"Shaziya
Posted on: Jul 28, 2019",Shaziya
Interest free period,State Bank of India Credit Card,I get an interest free period of 40 days with my SBI card.,"Innayat
Posted on: Jul 28, 2019",Innayat
Low cost,State Bank of India Credit Card,Like how low cost this card is. Interest card is fairly decent.,"Lavisha
Posted on: Jul 28, 2019",Lavisha
Absolutely free,State Bank of India Credit Card,I got my SBI card absolutely free from the bank. SBI is the best.,"Arushi
Posted on: Jul 28, 2019",Arushi
SBI card,State Bank of India Credit Card,"After I got this SBI card, I even opened an account with SBI and then reversed my joining fee.","Yuvika
Posted on: Jul 28, 2019",Yuvika
Joining fee,State Bank of India Credit Card,I paid a joining fee of INR 499 and got this card around 2 years back. Good card.,"Jamna
Posted on: Jul 28, 2019",Jamna
Reversed my renewal fee,State Bank of India Credit Card,"When my spending last year was over 1 lac, SBI reversed my renewal fee.","Rashmi
Posted on: Jul 28, 2019",Rashmi
Credit limit with SBI,State Bank of India Credit Card,MY credit limit with SBI on this card is 90k. Pretty decent.,"Chandrika
Posted on: Jul 28, 2019",Chandrika
Secure a cash loan,State Bank of India Credit Card,This is the card which helped me secure a cash loan from SBI to the value of 80% of my credit limit.,"Savi
Posted on: Jul 28, 2019",Savi
Reward rate,State Bank of India Credit Card,The reward rate is amazing. Every 4 reward points account for 1 INR.,"Nisha
Posted on: Jul 28, 2019",Nisha
Card is full of rewards,State Bank of India Credit Card,This card is full of rewards. On every 100 INR that I spend I save 4 reward points.,"Amisha
Posted on: Jul 28, 2019",Amisha
Utility bills,State Bank of India Credit Card,I could easily pay for all my utility bills using the easy pay facility of bank,"Anuj
Posted on: Jul 28, 2019",Anuj
Interest free period,State Bank of India Credit Card,I am getting an interest free period of 20 days on my card.,"Amrish
Posted on: Jul 28, 2019",Amrish
Not satiated,State Bank of India Credit Card,Not satiated with the low benefits on this card and the interest cost is also high.,"Nia
Posted on: Jul 28, 2019",Nia
I am pretty happy,State Bank of India Credit Card,"I am pretty happy with the rewards, schemes and the cashbacks that I am getting with this card.","Aniket
Posted on: Jul 28, 2019",Aniket
First Ever credit card,State Bank of India Credit Card,This is my First Ever credit card and the benefits I am getting are perfect.,"Ajub
Posted on: Jul 28, 2019",Ajub
I am glad,State Bank of India Credit Card,I am glad that I could use this card with ease for making my travel bookings while I was planning a trip to London with my family.,"Amu
Posted on: Jul 28, 2019",Amu
Welcome rewards,State Bank of India Credit Card,SBI granted me some welcome rewards too along with this card.,"Vibha
Posted on: Jul 28, 2019",Vibha
SBI Simply save card online,State Bank of India Credit Card,I applied for the SBI Simply save card online and got it delivered within just 5 days.,"Arjun
Posted on: Jul 28, 2019",Arjun
Add on cards,State Bank of India Credit Card,I got free 2 add on cards with my SBI Simply Save Card.,"Nia
Posted on: Jul 28, 2019",Nia
Charged me a decent value,State Bank of India Credit Card,SBI had charged me a decent value as interest cost. It is a low cost bank.,"Charlie
Posted on: Jul 28, 2019",Charlie
Incredibly surprised,State Bank of India Credit Card,I am incredibly surprised by the incredible savings that this card brings me on all types of shopping.,"Ina
Posted on: Jul 28, 2019",Ina
Balance transfer facility,State Bank of India Credit Card,I used the balance transfer facility of this card and paid for the other credit card bills.,"Manu
Posted on: Jul 28, 2019",Manu
Financial year,State Bank of India Credit Card,"Last financial year my spending was over 1 lac and since my credit limit is 80k, I had to pay some fee for crossing the limit.","Tia
Posted on: Jul 28, 2019",Tia
Joining fee,State Bank of India Credit Card,I had to pay INR 499 as the joining fee for this card. It is a good benefit card.,"Jagrit
Posted on: Jul 28, 2019",Jagrit
Shopping is amazingly rewarding,State Bank of India Credit Card,"Shopping is amazingly rewarding with this card since with every spending done with this card, I save.","Shiba
Posted on: Jul 28, 2019",Shiba
Enjoying the fascinating system of rewards,State Bank of India Credit Card,I am enjoying the fascinating system of rewards and benefits with SBI. It is incredible.,"Anuj
Posted on: Jul 28, 2019",Anuj
It is fantastic,State Bank of India Credit Card,I got a benefit of 2 free add on cards with my SBI card. It is fantastic.,"Amrinder
Posted on: Jul 28, 2019",Amrinder
Benefits with SBI,State Bank of India Credit Card,"Like how everyday, the benefits with SBI are only getting better. It is the best bank.","Priya
Posted on: Jul 28, 2019",Priya
Redeem my accrued reward points,State Bank of India Credit Card,I just cannot believe that I could redeem my accrued reward points for statement credit. SBI is the best.,"Tashu
Posted on: Jul 28, 2019",Tashu
Rewarding,State Bank of India Credit Card,SBI has always been rewarding. They gave me this card for free.,"Rabia
Posted on: Jul 28, 2019",Rabia
Renewal fee,State Bank of India Credit Card,I just got my renewal fee reversed back since my spending in the last year was over 90k.,"Raghav
Posted on: Jul 28, 2019",Raghav
SBI card,State Bank of India Credit Card,It has been 6 months since I am using this SBI card and now I just secured a benefit of add on card with this card.,"Disha
Posted on: Jul 28, 2019",Disha
Monthly income,State Bank of India Credit Card,"My monthly income is 30,000 INR and I could get my SBI card with ease.","Darshi
Posted on: Jul 28, 2019",Darshi
User of SBI,State Bank of India Credit Card,"I am a user of SBI since past 3 years and the benefits on this card for movies, dining and departmental stores are perfect.","Unati
Posted on: Jul 28, 2019",Unati
Pretty happy,State Bank of India Credit Card,Pretty happy with the decent scheme of rewards and the fine variety in benefits that I am getting with SBI.,"Pavitesh
Posted on: Jul 28, 2019",Pavitesh
Movie and the shopping offers,State Bank of India Credit Card,Like how the movie and the shopping offers of SBI are so fascinating. SBI is the best.,"Keith
Posted on: Jul 28, 2019",Keith
Credit card from SBI,State Bank of India Credit Card,This credit card from SBI has been excellently rewarding. I am literally saving so much everyday.,"Kabir
Posted on: Jul 28, 2019",Kabir
SBI card,State Bank of India Credit Card,Used my SBI card for shopping online and got a flat discount of 10%,"Sia
Posted on: Jul 28, 2019",Sia
User of SBI,State Bank of India Credit Card,I am a long term user of SBI and they have always been very fascinating with the shopping rewards,"Urooj
Posted on: Jul 28, 2019",Urooj
Taken this SBI card,State Bank of India Credit Card,I have just taken this SBI card and the benefits are amazing. Like it.,"Manish
Posted on: Jul 28, 2019",Manish
Indian resident,State Bank of India Credit Card,"I am a 22 year old Indian resident with a credit score of 700, so I applied for this card and got it with ease.","Ariana
Posted on: Jul 28, 2019",Ariana
Variety in dining offers,State Bank of India Credit Card,I like how the vast variety in dining offers are availed with my SBI card.,"Vani
Posted on: Jul 28, 2019",Vani
Card free for lifetime,State Bank of India Credit Card,I cannot believe that SBI just granted me this card free for lifetime. It is the best.,"Faruk
Posted on: Jul 28, 2019",Faruk
SBI reward points,State Bank of India Credit Card,I used my SBI reward points for shopping for a new perfume for myself.,"Surbhi
Posted on: Jul 28, 2019",Surbhi
Easy pay facility,State Bank of India Credit Card,The easy pay facility with SBI is good. It made paying the bills of telephone so hassle free.,"Zain
Posted on: Jul 28, 2019",Zain
Purchased for a new phone online,State Bank of India Credit Card,I purchased for a new phone online and paid for it using the EMI facility of SBI.,"Palak
Posted on: Jul 28, 2019",Palak
Happy,State Bank of India Credit Card,Happy that I could shop using the rewards from the SBI catalogue.,"Aleina
Posted on: Jul 28, 2019",Aleina
Saved my reward points,State Bank of India Credit Card,I saved my reward points for 2 years and then just recently redeemed it for getting a statement credit.,"Natasha
Posted on: Jul 28, 2019",Natasha
Reward redemption,State Bank of India Credit Card,The reward redemption fee of INR 99 had to be paid to acclaim the rewards worth 8000 accrued with my card.,"Ali
Posted on: Jul 28, 2019",Ali
Cannot complain,State Bank of India Credit Card,Cannot complain since the benefits and the reward system of this SBI card is the best.,"Chhahat
Posted on: Jul 28, 2019",Chhahat
Super happy,State Bank of India Credit Card,Super happy that only a small and nominal interest cost had to be borne on my SBI card.,"Subramaniyam
Posted on: Jul 28, 2019",Subramaniyam
Contacted the agent,State Bank of India Credit Card,I had contacted the agent of SBI and he explained to me all the aspects of this card before applying for it,"Chavvi
Posted on: Jul 28, 2019",Chavvi
Nominal over limit fee,State Bank of India Credit Card,I had to pay a nominal over limit fee of INR 500 since I crossed my set limit when my wife was in the hospital for the delivery of our first child.,"Navdeep
Posted on: Jul 28, 2019",Navdeep
Interest cost,State Bank of India Credit Card,"Be it the interest cost or the late payment or the over limit charges, everything is so economical with SBI.","Arisha
Posted on: Jul 28, 2019",Arisha
Small late payment fee,State Bank of India Credit Card,"A small late payment fee of INR 500 had to be paid from my end. SBI is extremely low cost,","Vaishali
Posted on: Jul 28, 2019",Vaishali
Shopped from the SBI catalogue,State Bank of India Credit Card,Shopped from the SBI catalogue using my reward points. Great benefit.,"Shaziya
Posted on: Jul 28, 2019",Shaziya
Small cost,State Bank of India Credit Card,Just a small cost was to be borne by me for the card lost fee.,"Masooma
Posted on: Jul 28, 2019",Masooma
Zero liability,State Bank of India Credit Card,SBI puts zero liability on customers for a lost card when proper information is conveyed.,"Ziya
Posted on: Jul 28, 2019",Ziya
Contacted the team,State Bank of India Credit Card,"When I had lost the card, I contacted the team of SBI who helped me immediately.","Kaushal
Posted on: Jul 28, 2019",Kaushal
Not in India,State Bank of India Credit Card,"I was not in India last month and even while traveling, this card came so handy.","Nia
Posted on: Jul 28, 2019",Nia
Redemption of the rewards,State Bank of India Credit Card,I paid 100 INR for the redemption of the rewards accrued on my card.,"Ravi
Posted on: Jul 28, 2019",Ravi
SBI rewards,State Bank of India Credit Card,Used my SBI rewards for getting a quick and hassle free statement credit.,"Ramesh
Posted on: Jul 28, 2019",Ramesh
Lost my card,State Bank of India Credit Card,"When I lost my card, I had to pay 100 INR as the replacement fee. The process of this new card was hassle free.","Kia
Posted on: Jul 28, 2019",Kia
Renewal fee,State Bank of India Credit Card,I just paid the renewal fee of INR 499 to SBI. It is the best bank.,"Madhu
Posted on: Jul 28, 2019",Madhu
Add on fee,State Bank of India Credit Card,No add on fee charge is to be paid to SBI. Sbi is amazing!,"Alok
Posted on: Jul 28, 2019",Alok
Finance charge,State Bank of India Credit Card,The finance charge on the SBI Simply Save Card is paid at 3.39% per annum.,"Shabir
Posted on: Jul 28, 2019",Shabir
Late payment fee,State Bank of India Credit Card,A small late payment fee of just 200 INR was charged from me from the bank.,"Jagrit
Posted on: Jul 28, 2019",Jagrit
Add on benefit,State Bank of India Credit Card,I made the use of the add on benefit of the SBI Simply Save card and got 2 cards for my parents for free.,"Arun
Posted on: Jul 28, 2019",Arun
No fee,State Bank of India Credit Card,No fee is charged for the acquiring of the add on card with this SBI card.,"Madhur
Posted on: Jul 28, 2019",Madhur
Add on card,State Bank of India Credit Card,"For an add on card with SBI, I had to pay zero amount to the bank.","Amitesh
Posted on: Jul 28, 2019",Amitesh
ATM withdrawal,State Bank of India Credit Card,"On my first ATM withdrawal using my SBI card, I got a flat cashback of 100 INR.","Rima
Posted on: Jul 28, 2019",Rima
Tiny cash payment fee,State Bank of India Credit Card,There was a tiny cash payment fee of just 100 INR. Brilliant1,"Abigail
Posted on: Jul 28, 2019",Abigail
Rewards redemption fee,State Bank of India Credit Card,I had to pay INR 99 as the rewards redemption fee. Pretty decent.,"Sanam
Posted on: Jul 28, 2019",Sanam
Rewards and benefits,State Bank of India Credit Card,Like how the rewards and benefits of SBI just go on increasing with every passing year.,"Madhurima
Posted on: Jul 28, 2019",Madhurima
Complete and a better scheme,State Bank of India Credit Card,I really haven't seen a more complete and a better scheme of card. This is perfect.,"Chandni
Posted on: Jul 28, 2019",Chandni
Massive amount of benefits,State Bank of India Credit Card,"Given the massive amount of benefits, I feel the annual fee is pretty reasonable.","Mani
Posted on: Jul 28, 2019",Mani
Annual fee,State Bank of India Credit Card,The annual fee on my SBI card is just 499. This is low in comparison to the other banks.,"Armaan
Posted on: Jul 28, 2019",Armaan
Reward points as bonus,State Bank of India Credit Card,"On the spending of INR 2000 during the first 2 months, I got 2000 reward points as bonus.","Balki
Posted on: Jul 28, 2019",Balki
Thank God,State Bank of India Credit Card,Thank God that the agents of SBI made me aware of all the attributes of the card well in advance.,"Tanuja
Posted on: Jul 28, 2019",Tanuja
Draft delivered,State Bank of India Credit Card,I got my draft delivered at my doorstep against my cash limit by the Easy Money offer of SBI.,"Manushree
Posted on: Jul 28, 2019",Manushree
Nominal fee,State Bank of India Credit Card,Only a nominal fee is charged as interest on my SBI Simply Save card.,"Nushka
Posted on: Jul 28, 2019",Nushka
SBI Simply Save Card,State Bank of India Credit Card,I use this SBI Simply Save Card at departmental stores since it gets me a number of rewards there.,"Siya
Posted on: Jul 28, 2019",Siya
One time joining fee,State Bank of India Credit Card,There was a one time joining fee of INR 499 to be paid for my SBI card.,"Omar
Posted on: Jul 28, 2019",Omar
Flexipay,State Bank of India Credit Card,The Flexipay scheme on my card is very fine. I purchased a TV with the FlexiPay benefit.,"Hina
Posted on: Jul 28, 2019",Hina
Balance transfer benefit of my SBI card,State Bank of India Credit Card,"Using the balance transfer benefit of my SBI card, I got get the unpaid bills of my other cards and pay them as EMIs.","Brijesh
Posted on: Jul 28, 2019",Brijesh
It is now easier,State Bank of India Credit Card,It is now easier for me to shop for bigger value items since I can make use of this card and pay for these items at an EMI>,"Meena
Posted on: Jul 28, 2019",Meena
SBI Simply save card,State Bank of India Credit Card,"On this SBI Simply save card, I get 10X rewards on every 100 INR spent on movies.","Sheeba
Posted on: Jul 28, 2019",Sheeba
Interest cost,State Bank of India Credit Card,The interest cost on this card is decent. I had to pay interest for the EMI I had taken with my card.,"Anusha
Posted on: Jul 28, 2019",Anusha
Bonus,State Bank of India Credit Card,The bonus of 2000 reward points that I got with my spending of 2000 in the first 2 months made me so happy.,"Bhuvan
Posted on: Jul 28, 2019",Bhuvan
Easy Money offer of SBI,State Bank of India Credit Card,Made use of the Easy Money offer of SBI and got a cheque delivered at my doorstep.,"Emraan
Posted on: Jul 28, 2019",Emraan
SBI Simply Save card,State Bank of India Credit Card,Glad that with my SBI Simply Save card the reward points are amazing.,"Saina
Posted on: Jul 28, 2019",Saina
Outstanding bill,State Bank of India Credit Card,"I got the outstanding bill of the other bank card to my Simply Save Card, and repaid it at a lower interest rate via EMI.","Alek
Posted on: Jul 28, 2019",Alek
Higher value purchases,State Bank of India Credit Card,Making higher value purchases over the amount of INR 2500 is easy with my SBI card.,"Harleen
Posted on: Jul 28, 2019",Harleen
SBI card,State Bank of India Credit Card,"On this SBI card, I get a surcharge waiver of 1% at all the petrol pumps in India.","Savi
Posted on: Jul 28, 2019",Savi
Annual fee,State Bank of India Credit Card,"On the spending of 90k in the last calendar year, my annual fee was reversed by SBI.","Amisha
Posted on: Jul 28, 2019",Amisha
Simply Save card,State Bank of India Credit Card,This Simply Save card brings me 10X reward points on grocery shopping.,"Sanjana
Posted on: Jul 28, 2019",Sanjana
Cash loan,State Bank of India Credit Card,I got a cash loan from SBI on my SBI simply save card limit.,"Mia
Posted on: Jul 28, 2019",Mia
Credit limit on my SBI card,State Bank of India Credit Card,"The credit limit on my SBI card is 80,000. Very decent and enough for me.","Kishan
Posted on: Jul 28, 2019",Kishan
Payment of my utility bills,State Bank of India Credit Card,I made the payment of my utility bills with this card. So easy.,"Nisha
Posted on: Jul 28, 2019",Nisha
Big purchases,State Bank of India Credit Card,All big purchases to the value of over 2500 can be paid for easily by converting them into EMIs.,"Bhavesh
Posted on: Jul 28, 2019",Bhavesh
Petrol refill,State Bank of India Credit Card,"On the petrol refill for the value between 500 to 3000 at any petrol pump in India, I get a surcharge waiver of 1%.","Pankaj
Posted on: Jul 28, 2019",Pankaj
SBI Simply Save Card,State Bank of India Credit Card,"On this SBI Simply Save Card, I am getting 10 X reward points on every spending on departmental stores.","Sai
Posted on: Jul 28, 2019",Sai
Packed with benefits,State Bank of India Credit Card,This card is packed with benefits. It is the best card I have used with SBI.,"Parthavi
Posted on: Jul 28, 2019",Parthavi
Accrue my reward points,State Bank of India Credit Card,I usually accrue my reward points on my SBI Simply Save card and redeem them on my bill.,"Astha
Posted on: Jul 28, 2019",Astha
Accelerated pace,State Bank of India Credit Card,I am getting the rewards at a really accelerated pace with my SBI simply save card.,"Aman
Posted on: Jul 28, 2019",Aman
Getting the rewards,State Bank of India Credit Card,I am getting the rewards at a really accelerated pace with my SBI simply save card.,"Gauri
Posted on: Jul 28, 2019",Gauri
SBI Simply save card,State Bank of India Credit Card,"With my SBI Simply save card, I am making a lot of savings per spending.","Sarika
Posted on: Jul 28, 2019",Sarika
SBI Simply save card,State Bank of India Credit Card,The word save that follows in the SBI Simply save card is perfectly used. This is the best card.,"Sania
Posted on: Jul 28, 2019",Sania
Super happy,State Bank of India Credit Card,Super happy with the value of savings I am getting with this card. The reward rate on this card is great!,"Sarika
Posted on: Jul 28, 2019",Sarika
Use this card,State Bank of India Credit Card,I can use this card from SBI at any place around the world,"Urvashi
Posted on: Jul 28, 2019",Urvashi
Fuel cost,State Bank of India Credit Card,Fuel cost is now cheaper since the 1% surcharge value has been waived off.,"Harshi
Posted on: Jul 28, 2019",Harshi
Spending,State Bank of India Credit Card,"The spending of 2000 INR with my SBI card got me 2000 reward points,","Suhani
Posted on: Jul 28, 2019",Suhani
Paid the joining fee,State Bank of India Credit Card,I just paid the joining fee of INR 499 and the card came with 2 e vouchers.,"Pawan
Posted on: Jul 28, 2019",Pawan
Always been my number one choice,State Bank of India Credit Card,SBI has always been my number one choice. I got my SBI card for free from the bank.,"Ananya
Posted on: Jul 28, 2019",Ananya
Got a loan,State Bank of India Credit Card,Got a loan worth 50000 with my SBI Simply card. Thanks SBI.,"Gopal
Posted on: Jul 28, 2019",Gopal
Traveling,State Bank of India Credit Card,I was traveling some time back and needed cash so I used my SBI card and withdrew cash using it.,"Tisha
Posted on: Jul 28, 2019",Tisha
Beautiful looking card,State Bank of India Credit Card,This is a beautiful looking card which can be used across the world.,"Bharti
Posted on: Jul 28, 2019",Bharti
Offers are brilliant,State Bank of India Credit Card,It has been 3 years with SBI and this card. The offers are brilliant.,"Omar
Posted on: Jul 28, 2019",Omar
Card from SBI,State Bank of India Credit Card,This card from SBI is amazing. I am particularly impressed with the movie and dinning offers.,"Kamish
Posted on: Jul 28, 2019",Kamish
Interest cost is decent,State Bank of India Credit Card,"The interest cost is decent, rewards are good, redemption of rewards for credit is perfect! Like it!","Anukriti
Posted on: Jul 28, 2019",Anukriti
SBI card is a good card,State Bank of India Credit Card,Glad that this SBI card is a good card wherein I get 1 reward point for every 100 INR spent.,"Sia
Posted on: Jul 28, 2019",Sia
Add on benefit,State Bank of India Credit Card,The add on benefit of my SBI card got my mom and sister a free card.,"Jia
Posted on: Jul 28, 2019",Jia
Wanted to gift my mom,State Bank of India Credit Card,I wanted to gift my mom a CK perfume so I used reward points and shopped for it from the catalogue of SBI.,"Vaibhav
Posted on: Jul 28, 2019",Vaibhav
Redeemed my reward points,State Bank of India Credit Card,I redeemed my reward points after 2 years and now I am getting a good statement credit with it.,"Rohan
Posted on: Jul 28, 2019",Rohan
Lifetime free,State Bank of India Credit Card,I didn't have to pay even a rupee for getting this card. It came as a lifetime free card for me.,"Laila
Posted on: Jul 28, 2019",Laila
Small fee for the renewal,State Bank of India Credit Card,I paid a small fee for the renewal of my SBI card but the benefits I am getting in exchange are amazing.,"Sujata
Posted on: Jul 28, 2019",Sujata
Agent of SBI,State Bank of India Credit Card,The agent of SBI was extremely helpful when I had lost my SBI card.,"Arzoo
Posted on: Jul 28, 2019",Arzoo
Easy money,State Bank of India Credit Card,The easy money is a great benefit of this card wherein I can get money delivered with SBI.,"Alankrita
Posted on: Jul 28, 2019",Alankrita
Flexi pay scheme,State Bank of India Credit Card,"Using the flexi pay scheme on the SBI card, I bought some furniture for my home.","Farida
Posted on: Jul 28, 2019",Farida
Add on card benefit,State Bank of India Credit Card,I used my add on card benefit on this card and secured a free card for my father.,"Amrita
Posted on: Jul 28, 2019",Amrita
Making purchases online and offline,State Bank of India Credit Card,"Making purchases, online and offline are now so easy and convenient with this card.","Manya
Posted on: Jul 28, 2019",Manya
Shopped for a fridge,State Bank of India Credit Card,I shopped for a fridge online and saved 1500 INR with my SBI card.,"Sanya
Posted on: Jul 28, 2019",Sanya
SBI simply save card,State Bank of India Credit Card,"This SBI simply save card, brings me good savings on dining and movie bookings.","Suhani
Posted on: Jul 28, 2019",Suhani
Late payment,State Bank of India Credit Card,I had to pay a late payment fee of INR 500 on my SBI Simply Save Card.,"Latika
Posted on: Jul 28, 2019",Latika
Reasonable amount of interest,State Bank of India Credit Card,Paying a reasonable amount of interest on the EMI created with my card amount.,"Ravi
Posted on: Jul 28, 2019",Ravi
Easy money option,State Bank of India Credit Card,The easy money option on this SBI card is great. I used it to get some money from the bank at the comfort of my home.,"Enna
Posted on: Jul 28, 2019",Enna
Quick and hassle free,State Bank of India Credit Card,I got a quick and hassle free means to pay for my utility bills with my SBI easy pay facility.,"Kabir
Posted on: Jul 28, 2019",Kabir
Associated with SBI,State Bank of India Credit Card,It has been 5 years since I am associated with SBI. The bank has always been my number one choice. And just 2 days back I got a call from them and they gave me this card free for lifetime for me.,"Akriti
Posted on: Jul 28, 2019",Akriti
SBI card,State Bank of India Credit Card,"Using the SBI card, I got an easy cash loan from SBI. Amazing.","Subhash
Posted on: Jul 28, 2019",Subhash
Interest cost,State Bank of India Credit Card,"I feel that the interest cost should have been a little lower, maybe close to 2%. It seems a bit high for me.","Anuja
Posted on: Jul 28, 2019",Anuja
Never defaulted,State Bank of India Credit Card,I have never defaulted in the payment of the bills and hence I have always been free of the interest cost.,"Nutan
Posted on: Jul 28, 2019",Nutan
Interest,State Bank of India Credit Card,The interest of 3.35% is charged from me for the late payment of fee or the EMI scheme that I sometimes use with this card.,"Imaam
Posted on: Jul 28, 2019",Imaam
Paid for the renewal fee,State Bank of India Credit Card,Just paid for the renewal fee of INR 499 for this card. Good card.,"Payal
Posted on: Jul 28, 2019",Payal
Card from SBI,State Bank of India Credit Card,I am using this card from SBI for 3 years now. The savings and the benefits on it are great.,"Kamna
Posted on: Jul 28, 2019",Kamna
Lunches and dinners,State Bank of India Credit Card,"I usually like going out on lunches and dinners and ever since I switched to this card, the number of time I go for eating out has increased since I get good reward points with my card.","Sonia
Posted on: Jul 28, 2019",Sonia
I am happy,State Bank of India Credit Card,I am happy with the rewards that SBI is bringing my way with this card.,"Hans
Posted on: Jul 28, 2019",Hans
Share my happiness,State Bank of India Credit Card,"I would like to share my happiness related to this card, it is a good benefit based card.","Sheeba
Posted on: Jul 28, 2019",Sheeba
Perfect and a complete card,State Bank of India Credit Card,Haven't seen a more perfect and a complete card in terms of rewards. It is just perfect.,"Pankaj
Posted on: Jul 28, 2019",Pankaj
Good benefits,State Bank of India Credit Card,I am using my SBI card for 3 years now. It is a perfect value card with good benefits.,"Kiara
Posted on: Jul 28, 2019",Kiara
Redeemed my reward points,State Bank of India Credit Card,I just redeemed my reward points and made use of them for getting some gifts from the reward catalogue of SBI.,"Martha
Posted on: Jul 28, 2019",Martha
Shopping at Big Bazaar,State Bank of India Credit Card,"On shopping at Big Bazaar with my SBI card, I got 20 reward points.","Sahiba
Posted on: Jul 28, 2019",Sahiba
Perfect value based card,State Bank of India Credit Card,It is a perfect value based card wherein I am saving a good deal of rewards on the shopping done with this card.,"Mahika
Posted on: Jul 28, 2019",Mahika
